Character,Alt Mode,Team,Class,Series,Edition,Maker,Country,SKU,Packaging,Date,Images
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Music Mob,Unavailable,Unavailable,MiniBot,BotBots,Series 2,Hasbro,China,30509 82530,Sealed in Blister,2019,Unavailable
Backpack Bunch,Unavailable,Unavailable,MiniBot,BotBots,Series 2,Hasbro,China,30509 82532,Sealed in Blister,2019,Unavailable
Shed Heads,Unavailable,Unavailable,MiniBot,BotBots,Series 2,Hasbro,China,30509 82527,Sealed in Blister,2019,Unavailable
Playroom Posse,Unavailable,Unavailable,MiniBot,BotBots,Series 3,Hasbro,China,30509 82534,Sealed in Blister,2019,Unavailable
Season Greeters,Unavailable,Unavailable,MiniBot,BotBots,Series 3,Hasbro,China,30509 82528,Sealed in Blister,2019,Unavailable
Frequent Flyers,Unavailable,Unavailable,MiniBot,BotBots,Series 5,Hasbro,China,30509 90543,Sealed in Blister,2020,Unavailable
Hibotchi Heats,Unavailable,Unavailable,MiniBot,BotBots,Series 5,Hasbro,China,30509 90539,Sealed in Blister,2020,Unavailable
Optimus Prime,Unavailable,Autobot,Figure,Super 7,Wave 1,ReAction,China,40049 80042,Sealed in Blister,2019,Unavailable
GoldBug,Unavailable,Autobot,Figure,Super 7,Wave 3,ReAction,China,40049 81164,Sealed in Blister,2020,Unavailable
Jazz,Unavailable,Autobot,Figure,Super 7,Wave 1,ReAction,China,40049 80041,Sealed in Blister,2019,Unavailable
Alpha Trion,Unavailable,Autobot,Figure,Super 7,Wave 2,ReAction,China,40049 80675,Sealed in Blister,2019,Unavailable
Shockwave,Unavailable,Decepticon,Figure,Super 7,Wave 2,ReAction,China,40049 80681,Sealed in Blister,2019,Unavailable
Galvatron,Unavailable,Decepticon,Figure,Super 7,Wave 4,ReAction,China,40049 80952,Sealed in Blister,2021,Unavailable
Starscream,Unavailable,Decepticon,Figure,Super 7,Wave 1,ReAction,China,40049 80043,Sealed in Blister,2019,Unavailable
Megatron,Unavailable,Decepticon,Figure,Super 7,Wave 1,ReAction,China,40049 80045,Sealed in Blister,2019,Unavailable
BumbleBee,Unavailable,Autobot,Figure,Super 7,Wave 1,ReAction,China,40049 80040,Sealed in Blister,2019,Unavailable
Devastator,Unavailable,Decepticon,Figure,Super 7,Wave 3,ReAction,China,40049 80683,Sealed in Blister,2020,Unavailable
VF-1J (Jetfire),Unavailable,Robotech,Figure,Unavailable,Unavailable,ReAction,China,11169 03010,Sealed in Blister,2018,Unavailable
Vector Prime,MetalHawk,Autobot,Prime Master,Power of the Primes,Unavailable,Hasbro,Vietnam,30509 62074,Sealed in Blister,2017,Unavailable
Liege Maximo,SkullGrin,Decepticon,Prime Master,Power of the Primes,Unavailable,Hasbro,Vietnam,30509 62071,Sealed in Blister,2017,Unavailable
Ptero,Unavailable,Autobot,Titan Master,Titans Return,Unavailable,Hasbro,Vietnam,30509 49435,Sealed in Blister,2016,Unavailable
Sawback,Unavailable,Autobot,Titan Master,Titans Return,Unavailable,Hasbro,Vietnam,30509 49436,Sealed in Blister,2016,Unavailable
Storm Cloud & Visper,Skytread,Decepticon,Micro Master,Siege War For Cybertron,Air Strike Patrol,Hasbro,Vietnam,30509 75481,Sealed in Blister,2018,Unavailable
Battleslash,Helicopter,Decepticon,Legends Class,Power of the Primes,Duocon - Roadtrap,Hasbro,Vietnam,30509 69526,Sealed in Blister,2017,Unavailable
Fangry,Unavailable,Decepticon,Titan Master,Titans Return,Unavailable,Hasbro,Vietnam,30509 49437,Sealed in Blister,2016,Unavailable
Leo Prime,Lion,Autobot,Legends Class,Robots in Disguise,Cybertron Collection,Hasbro,China,53569 25141,Sealed in Blister,2007,Unavailable
Starscream,Wing Slice,Decepticon,Scout Class,Bumblebee,Cyberverse Adventures,Hasbro,Vietnam,95166 13504,Sealed in Blister,2021,Unavailable
Groundbuster,Tractor,Decepticon,MiniBot,Robots in Disguise,Combiner Force,Hasbro,Vietnam,30509 42954,Sealed in Blister,2016,Unavailable
Optimus Prime & Bone Crusher,Unavailable,Both,Underbots,Battle Series 2,Speed Stars,Hasbro,China,53569 53810,Sealed in Blister,2010,Unavailable
Windcharger,Keychain,Autobot,MiniBot,Heroes of Cybertron,Generation 1 #1448,Hasbro,China,14397 01448,Sealed in Blister,2006,Unavailable
Bumblebee (Quickblade),Black Mustang,Autobot,Legion Class,Prime,Series 2: 011,Hasbro,Vietnam,53569 77069,Sealed in Blister,2011,Unavailable
Vehicon,Cruiser,Decepticon,Legion Class,Prime,Series 2: 002,Hasbro,Vietnam,53569 70816,Sealed in Blister,2011,Unavailable
Bumblebee,Racecar,Autobot,MiniBot,Robots in Disguise,Go-Bots,Hasbro,China,38976 80254,Sealed in Blister,1994,Unavailable
BumbleBee,Keychain,Autobot,Figure,Studio Series,Transformers #1450,Hasbro,China,14397 01450,Sealed in Blister,2007,Unavailable
Grimlock,Unavailable,Autobot,Figure,Titanium,Die-cast,Hasbro,China,53569 17214,Sealed in Blister,2006,Unavailable
Megatron,Unavailable,Decepticon,Figure,Heroes of Cybertron,Generation 1,Hasbro,China,76930 27192,Sealed in Blister,2001,Unavailable
Grimlock,T-Rex,Autobot,KRE-O,Kreon Battle Changer,Collection 1 B0718/B0714,Hasbro,China,30509 58620,In Box (some wear),2015,Unavailable
Starscream,Unavailable,Decepticon,KRE-O,Custom Kreon,Collection 1 A6089/A5413,Hasbro,China,53569 89989,Sealed in Blister,2013,Unavailable
Ironhide,Unavailable,Autobot,KRE-O,Custom Kreon,Collection 1 A6086/A5413,Hasbro,China,53569 89986,Sealed in Blister,2013,Unavailable
Optimus Prime,Keychain,Autobot,Figure,Bag Clip,Mongram,Hasbro,China,95464 07901,Sealed in Blister,2021,Unavailable
Bumblebee,Keychain,Autobot,Figure,Bag Clip,Mongram,Hasbro,China,95464 07902,Sealed in Blister,2021,Unavailable
Megatron,Keychain,Autobot,Figure,Bag Clip,Mongram,Hasbro,China,95464 07904,Sealed in Blister,2021,Unavailable
Starscream,Seeker Jet,Decepticon,Core Class,Kingdom War For Cybertron,WFC-K12,Hasbro,Vietnam,010993 769650,Sealed in Blister,2020,Unavailable
Optimus Prime,Truck,Autobot,Core Class,Kingdom War For Cybertron,WFC-K1,Hasbro,Vietnam,010993 764808,Sealed in Blister,2020,Unavailable
Megatron,Tank,Decepticon,Core Class,Kingdom War For Cybertron,WFC-K13,Hasbro,Vietnam,010993 769643,Sealed in Blister,2020,Unavailable
Spike,Unavailable,Human,Figure,Unavailable,Unavailable,Impossible Toys,Macau,Unavailable,Sealed in Blister,Unavailable,Unavailable
Sparkplug,Unavailable,Human,Figure,Unavailable,Unavailable,Impossible Toys,Macau,Unavailable,Sealed in Blister,Unavailable,Unavailable
Kremzeak,Unavailable,Human,Figure,Unavailable,Unavailable,Impossible Toys,Macau,Unavailable,Sealed in Blister,Unavailable,Unavailable
Optimus Prime,Unavailable,Autobot,Puzzle,Rubik's Crew,C2096,Hasbro,China,30509 53541,Open in Box,2016,Unavailable
Optimus Prime,Unavailable,Autobot,Figure,Series 1,Thrilling 30,Goldie,China,17724 01002,Sealed in Blister,2014,Unavailable
Air Raid & Storm Surge,Jet / Hovercraft,Both,Cybertron Series,Transformers Universe,War of The Waves,Hasbro,China,53569 43805,Stapled in Blister,2009,Unavailable
Optimus Prime (Dead),Figure,Autobot,Action Vinyls,The Loyal Subjects,TF-3,Hasbro,China,20103 87391,Sealed in Blister,2015,Unavailable
Sludge,Dinobot,Autobot,Deluxe Class,Power of the Primes,Prime Master,Hasbro,China,30509 65922,Partial Sealed in Blister,2017,Unavailable
Thundercracker,Jet,Decepticon,Deluxe Class,Dark of the Moon,Mech Tech,Hasbro,China,53569 59173,Sealed in Blister,2011,Unavailable
Air Raid  ,Jet,Autobot,Deluxe Class,Dark of the Moon,Mech Tech,Hasbro,China,53569 60494,Sealed in Blister,2011,Unavailable
Roadbuster,Racecar,Autobot,Deluxe Class,Dark of the Moon,Mech Tech,Hasbro,China,53569 58861,Sealed in Blister,2011,Unavailable
Ironhide,Truck,Autobot,Deluxe Class,Studio Series,Unavailable,Hasbro,China,53569 49294,Stapled in Blister,2009,Unavailable
Starscream,Jet,Decepticon,Deluxe Class,Studio Series,Movie Premiere,Hasbro,China,53569 11114,Sealed in Blister,2006,Unavailable
Shockwave,Mobile Artillery,Decepticon,Deluxe Class,Fall of Cybertron,Generations 1 #003,Hasbro,China,53569 74405,Sealed in Blister,2011,Unavailable
Thundercracker,Jet,Decepticon,Warrior Class,Cyberverse,Action Attackers,Hasbro,Vietnam,30509 71994,Sealed in Blister,2017,Unavailable
Ratchet,Ambulance,Autobot,Deluxe Class,Prime,Series 1: 006,Hasbro,China,53569 72234,Sealed in Blister,2011,Unavailable
Wheeljack,Racecar,Autobot,Deluxe Class,Prime,Series 1: 003,Hasbro,China,53569 70654,Sealed in Blister,2011,Unavailable
Grimlock & Back,T-Rex & Ball,Both,Hunter & Minicon,Robots in Disguise,Decepticon Hunter,Hasbro,China,30509 38675,Sealed in Blister,2015,Unavailable
Grimlock,T-Rex,Autobot,Hunter Class,Robots in Disguise (Japan),TAV02,Takara Tomy,Vietnam,904810 829676,Sealed in Blister,2015,Unavailable
Starscream,Jet,Decepticon,Warrior Class,Bumblebee,Cyberverse Adventures,Hasbro,Vietnam,30509 90261,Sealed in Blister,2020,Unavailable
Arcee,Cycle,Autobot,Warrior Class,Robots in Disguise (Canada),Energon,Hasbro,China,76930 80240,Sealed in Blister,2004,Unavailable
Megatron,Jet,Decepticon,Leader Class,The Last Knight,Premier Edition,Hasbro,Canada,30509 51631,Sealed in Box,2016,Unavailable
Sideswipe,Racecar,Autobot,Deluxe Class,Alternators,Dodge Viper,Hasbro,China,76930 81302,Sealed in Box,2003,Unavailable
Optimus Prime & Grimlock (Potato),Potatos,Autobot,Playschool Class,Rescue Bots,Potato Head,Hasbro,China,53569 95542,Sealed in Blister,2013,Unavailable
"Quintesson, Prowl & Shockwave ",Invadors,"N/A, Both",Warrior Class,Cyberverse,Battle For Cybertron,Hasbro,Vietnam,010993 648894,Sealed in Box,2019,Unavailable
Optimus Prime,Unavailable,Autobot,Die Cast,Metal Die Cast,Hollywood Rides,Jada Toys,USA,01310 24078,Sealed in Box,2019,Unavailable
Ironhide,Tank,Decepticon,Warrior Class,Destron,Megascf TF 10,Takara,China,4904880 53895 9,Sealed in Box,2003,Unavailable
Ironhide,Nissan Cherry Vanette,Autobot,Leader Class,Masterpiece,MP - 27,Takara Tomy,Vietnam,904810 833949,Sealed in Box,Unavailable,Unavailable
Dong Man Jin Gang,Jet,Unavailable,Leader Class,Taikongzhans Kudea,Jingdian,Shoucang,China,943448 300018,Sealed in Box,Unavailable,Unavailable
Reconnaissance,Camera,Decepticon,Core Class,Golden Company,Rear Window 22G,New Age,China,Unavailable,Sealed in Box,2020,Unavailable
Void Tyrant,Cannon,Decepticon,Core Class,Iron Factory,IF EX - 47,Iron Factory,China,91348 51921,Open in Box,Unavailable,Unavailable
Ironhide,GMC Truck,Autobot,Voyager Class,Darkside of the Moon,Mech Tech,Hasbro,China,53569 58961,Sealed in Box,2010,Unavailable
Optimus Prime (Weapon Platform),Truck,Autobot,Core Class,Darkside of the Moon,Series 1 004,Hasbro,China,53569 59349,Sealed Box  (some wear),2010,Unavailable
Optimus Prime,Truck,Autobot,Masterpiece,BumbleBee,MPM-12,Hasbro,Vietnam,95166 11706,Sealed in Box,2021,Unavailable
Squeeks,RC Droid,Autobot,RC Droid,The Last Knight,Chihuahua,Hasbro,China,30509 58976,In Box (some wear),2016,Unavailable
Optimus Prime (Potato),Potatos,Autobot,Core Class,Mr. Potato Head,Rescue Bots,Hasbro,China,53569 94859,Sealed in Blister,2013,Unavailable
Optimus Prime & Megatron,Tank,"N/A, Both",Warrior Class,War Within,Titanium Series,Hasbro,China,53569 25235,In Box (some wear),2006,Unavailable
Starscream,Seeker Jet,Decepticon,Titan Class,More Than Meets The Eye,Titan Changers,Hasbro,Vietnam,30509 91089,Sealed in Box,2019,Unavailable
Flying Fast,Red Car,Autobot,Core Class,Brobdingnag,MS-B22,Magic Square,China,32857 619031,Sealed in Box,Unavailable,Unavailable
Calidas Captain,Red Car,Autobot,Warrior Class,Reformatted,R27,Mastermind Creations,China,691054 829732,Sealed in Box,2017,Unavailable
Optimus Prime,Truck,Autobot,G1,More Than Meets The Eye,Autobot Commander,Hasbro,Vietnam,30509 79498,In Box ,2016,Unavailable
Galactic Man,Lazer,Decepticon,Core Class,Legendary Heroes,Cyclops,New Age,China,Unavailable,Unavailable,2021,Unavailable
Rapid Speed,Red Car,Autobot,Core Class,Limited Addition,MS-25R,Mechanic Studio,Unavailable,Unavailable,In Box ,2020,Unavailable
Camera Robo,Camera,Unavailable,Core Class,Micro Man,T-305,Micro Change,Taiwan,Unavailable,Unavailable,Unavailable,Unavailable
Grimlock,Statue,Autobot,FunkoPop,Vinyl Figure,69,Funko,Vietnam,89698 54270,In Box (some wear),2020,Unavailable
BumbleBee,Statue,Autobot,FunkoPop,Vinyl Figure,23,Funko,Vietnam,89698 50966,In Box (some wear),2020,Unavailable
Transformation Gun,Lazer Pistol,Unavailable,Transformation,Super Sound,Light Electronic Series,Hope Long,China,930560 001350,In Box ,Unavailable,Unavailable
Optimus Prime & Grimlock,Statue,Autobot,Collectible ,Age of Extinction,Dinobot Turaun Taun,Hasbro,China,32429 15886,In Box ,2014,Unavailable
Starscream,Seeker Jet,Decepticon,Warrior Class,War Within,Titanium Series,Hasbro,China,53569 19474,In Box ,Unavailable,Unavailable
Transforming Robot,RC Car,Unavailable,Carnival Class,Radio Controlled Car,Transforming Robot,Blue Hat Toy Co,China,Unavailable,Unavailable,Unavailable,Unavailable
Starscream,Jet,Decepticon,Deluxe Class,RID,C-10638,Hasbro,China,53569 18267,Sealed in Blister,2006,Unavailable
Doomsday,Pistol,Decepticon,Core Class,Brobdingnag,MS-B36Y,Magic Square,China,328576 19025,In Box ,Unavailable,Unavailable
Optimus Prime (Pepsi),Truck,Autobot,Warrior Class,Robots in Disguise,Pepsi 83374,Hasbro,China,53569 25715,Sealed in Box,2007,Unavailable
Optimus Prime,Truck,Autobot,G1,Reissue,Autobot Commander,Hasbro,Japan,38976 05796,In Box (some wear),1984,Unavailable
"Starscream, Thundercracker, Skywarp, Thrust",Seeker Jet,Decepticon,Warrior Class,Cyberverse Adventures,Cybertronian Mode,Hasbro,Vietnam,010993 705245,Sealed in Box,2020,Unavailable
Starscream,Seeker Jet,Decepticon,Voyager Class,KRE-O Create It,30667,Hasbro,China,53569 61976,Sealed Box  (some wear),2010,Unavailable
BumbleBee,Car,Autobot,Voyager Class,KRE-O Create It,98814,Hasbro,China,53569 73045,Sealed Box  (some wear),2010,Unavailable
Megatron,Tank,Decepticon,Voyager Class,War For Cybertron,Spoiler,Hasbro,Vietnam,010993 834532,Sealed in Box,2020,Unavailable
Ultra Magnus Vs. Skywarp,Truck / Jet,Both,Deluxe Class,Battle For Autobot City,C-036A,Hasbro,China,53569 22458,Sealed in Box,2006,Unavailable
Starscream,Seeker Jet,Decepticon,Masterpiece,Generations,MP07,Hasbro,China,30509 37010,Sealed in Box,2015,Unavailable
Skywarp,Seeker Jet,Decepticon,Masterpiece,Generation 1 Series,93290,Hasbro,China,53569 43457,Sealed in Box,2009,Unavailable
BumbleBee,Statue,Autobot,Iconic Scene,Battle on Cybertron,26,Zoteki,China,93847 01008,Sealed in Box,2020,Unavailable
Grimlock,Statue,Autobot,Iconic Scene,Battle on Cybertron,29,Zoteki,China,93847 01007,Sealed in Box,2020,Unavailable
Starscream,Statue,Decepticon,Iconic Scene,Battle on Cybertron,27,Zoteki,China,93847 01009,Sealed in Box,2020,Unavailable
Soundwave,Statue,Decepticon,Iconic Scene,Battle on Cybertron,28,Zoteki,China,93847 01010,Sealed in Box,2020,Unavailable
Optimus Prime,Statue,Autobot,Iconic Scene,Battle on Cybertron,24,Zoteki,China,93847 01005,Sealed in Box,2020,Unavailable
Megatron,Statue,Decepticon,Iconic Scene,Battle on Cybertron,25,Zoteki,China,93847 01006,Sealed in Box,2020,Unavailable
Thundercracker,Statue,Decepticon,Iconic Scene,Battle on Cybertron,31,Zoteki,China,93847 01181,Sealed in Box,2020,Unavailable
Skywarp,Statue,Decepticon,Iconic Scene,Battle on Cybertron,30,Zoteki,China,93847 01011,Sealed in Box,2020,Unavailable
McDonald's Toys,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Transformable Autobot,Car,Unavailable,KO,Unrivaled,2998C,?,China,Unavailable,Sealed in Box,?,Unavailable
GoldRush Games Surprise,Hidden,Unavailable,MiniBot,BotBots,Series 4,Hasbro,China,010993 656790,Sealed in Box,2020,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Sixgun,Aircraft/ Weaponizer,Autobot,Deluxe Class,Siege War For Cybertron,WFC-S22,Hasbro,Vietnam,30509 78864,Sealed in Box,2018,Unavailable
Rhinox,Rhino,Autobot,Voyager Class,Kingdom War for Cybertron,WFC-K27,Hasbro,Vietnam,010993 792382,Sealed in Box,2020,Unavailable
Tigatron,White Tiger,Autobot,Voyager Class,Kingdom War for Cybertron,WFC-K35,Hasbro,Vietnam,010993 792405,Sealed in Box,2021,Unavailable
Armada Universe Starscream,Seeker Jet,Decepticon,Voyager Class,Legacy,Armada Universe,Hasbro,Vietnam,010994 110291,Sealed in Box,2022,Unavailable
Sideswipe & Maximal Skywarp,Car / Eagle,Autobot,Deluxe Class,Kingdom War for Cybertron,WFC-K42,Hasbro,Vietnam,010993 881741,Sealed in Box,2021,Unavailable
Red Alert,Car  ,Autobot,Deluxe Class,War For Cybertron Netflix,Unavailable,Hasbro,Vietnam,010993 782116,Sealed in Box,2020,Unavailable
Jackpot & Sights ,Car,Autobot,Deluxe Class,Kingdom War for Cybertron,Golden Disc,Hasbro,Vietnam,010993 919536,Sealed in Box,2021,Unavailable
Cog,Tank / Weaponizer,Autobot,Deluxe Class,Siege War For Cybertron,WFC-S8,Hasbro,Vietnam,30509 75462,Sealed in Box,2018,Unavailable
Scorponok,Scorpion,Decepticon,Voyager Class,Beast Wars,F4224,Kenner,Vietnam,010993 932023,Sealed in Box,2022,Unavailable
Red Cog,Tank / Weaponizer,Autobot,Deluxe Class,Legacy,F4241,Hasbro,Vietnam,010994 146115,Sealed in Box,2022,Unavailable
Megatron,Purple dinosaur,Decepticon,Leader Class,Kingdom War for Cybertron,WFC-K10,Hasbro,Vietnam,010993 766970,Sealed in Box,2020,Unavailable
G2 Universe Megatron,Tank  ,Decepticon,Core Class,Legacy,F3015 / F2988 asst.,Hasbro,Vietnam,010993 977055,Sealed in Box,2022,Unavailable
Rachet,Ambulance,Autobot,Core Class,Studio Series,F3143 / F3135 asst.,Hasbro,Vietnam,010994 112141,Sealed in Box,2022,Unavailable
Optimus Prime,Truck,Autobot,Core Class,Legacy,F3508 / F2988 asst.,Hasbro,Vietnam,010993 974924,Sealed in Box,2022,Unavailable
Slammer,Tank,Autobot,Deluxe Class,Kingdom War for Cybertron,WFC-K33,Hasbro,Vietnam,010993 782185,Sealed in Box,2021,Unavailable
Transmetal Megatron ,Dragon,Decepticon,Leader Class,Legacy,F3063 / F2989 asst.,Hasbro,Vietnam,010994 114978,Sealed in Box,2022,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Cybertron Night Fighter,Train,Autobot,Leader Class,Masterpiece,MPG-02,Hasbro,China,95166 21178,Sealed in Box,2022,Unavailable
Cybertron Heavy Snow Fighter,Train,Autobot,Leader Class,Masterpiece,MPG-03,Hasbro,China,904810 149316,Sealed in Box,2023,Unavailable
DK-3 Breaker,Truck,Autobot,Deluxe Class,Legacy (Brown Box),F3073,Hasbro,Vietnam,010994 115487,Sealed in Box,2022,Unavailable
Pipes,Truck,Autobot,Deluxe Class,Kingdom War for Cybertron,WFC-K32,Hasbro,Vietnam,010993 782246,Sealed in Box,2021,Unavailable
Pipes,Truck,Autobot,Deluxe Class,Kingdom War for Cybertron,WFC-K32,Hasbro,Vietnam,010993 782246,Sealed in Box,2021,Unavailable
Megatron ,Truck,Decepticon,Leader Class,Studio Series 48 TFTR3D,E6254,Hasbro,Vietnam,30509 88603,Sealed in Box,2019,Unavailable
Black Arachnia,Spider,Decepticon,Deluxe Class,Kingdom War for Cybertron,WFC-K5,Hasbro,Vietnam,010993 764778,Sealed in Box,2020,Unavailable
CliffJumper,Car,Autobot,Deluxe Class,Studio Series 86 Buzzworthy ,F4482 / F3927,Hasbro,Vietnam,010993 965892,Sealed in Box,2022,Unavailable
Bumblebee & Spike,Car / Exosuit,Autobot,Core Class,War for Cybertron Buzzworthy,F0926 ,Hasbro,Vietnam,010993 777723,Sealed in Box,2020,Unavailable
Ironhide,Van,Autobot,Voyager Class,Studio Series 86 TFTM,F3175 / E0702 asst.,Hasbro,Vietnam,95166 18106,Sealed in Box,2022,Unavailable
Shattered Glass Jetfire,Jet,Autobot,Leader Class,Shattered Glass,F3003 ,Hasbro,Vietnam,010993 900657,Sealed in Box,2021,Unavailable
Paradron Medics,Ambulance and Nurse,Autobot,Deluxe Class,Galactic Odyssey Collection,F0856,Hasbro,Vietnam,010993 782574,Open in Box,2020,Unavailable
Optimus Primal,Gorilla,Autobot,Voyager Class,War for Cybertron Netflix,F0976 / E9490,Hasbro,Vietnam,010993 829040,Sealed in Box,2020,Unavailable
Sparkless Seeker,Tetrajet,Decepticon,Voyager Class,War for Cybertron Netflix,F0975 / E9490,Hasbro,Vietnam,010993 829033,Sealed in Box,2020,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Various,Unavailable,Both,Figurine,KRE-O Micro Changers,A2200 Collections 1 - 3,KRE-O,China,Various,Sealed in Bag,2015,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Blaster & Thrust,Unavailable,Both,Figurine,Robot Heroes,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Arcee & Rumble,Unavailable,Both,Figurine,Robot Heroes,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Optimus Prime,Unavailable,Unavailable,Unavailable,Action Micro Figures,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Arcee  ,Unavailable,Unavailable,Unavailable,Action Micro Figures,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Action Micro Figures,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Action Micro Figures,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,Action Micro Figures,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Unavailable,Unavailable,Unavailable,Unavailable,MiniMates,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
